사차, 72, 147
라사, 96, 184
다라, 99, 161
나나, 49, 144
카다, 83, 150
자아, 41, 152
나바, 58, 141
다가, 98, 185
하하, 65, 176
카마, 47, 187
차차, 53, 141
카파, 60, 184
라하, 96, 165
나나, 50, 159
라아, 49, 154
나타, 49, 162
타사, 57, 149
차라, 69, 182
마하, 98, 171
마하, 44, 176
사차, 57, 185
라아, 96, 149
다라, 99, 149
타바, 95, 185
사가, 63, 140
하나, 80, 183
차마, 81, 150
자가, 76, 146
라타, 78, 170
마사, 66, 181
마파, 89, 143
가사, 68, 148
자다, 67, 141
가차, 52, 165
가라, 49, 177
차사, 77, 186
하차, 83, 147
타다, 62, 166
아파, 45, 179
차파, 43, 154
자카, 70, 168
사카, 46, 171
바바, 49, 181
차자, 45, 146
파라, 96, 184
바하, 62, 166
가다, 71, 181
아카, 43, 149
하차, 92, 145
사바, 61, 185
바타, 40, 174
바하, 40, 150
마가, 76, 154
하다, 54, 146
타사, 59, 145
다하, 98, 177
사나, 66, 179
타타, 53, 159
차타, 89, 151
마자, 66, 142
라라, 73, 142
바차, 42, 188
나나, 77, 157
아바, 72, 147
파바, 67, 182
카차, 87, 166
타카, 98, 178
마라, 49, 143
가마, 87, 158
라다, 75, 178
아마, 52, 155
사나, 94, 140
사라, 67, 157
가사, 47, 171
파차, 94, 175
마다, 58, 160
파다, 55, 188
파파, 81, 183
하자, 89, 174
라파, 59, 153
바아, 82, 184
자카, 74, 150
사카, 73, 163
카카, 54, 173
마다, 94, 187
가자, 76, 172
차파, 62, 153
가다, 93, 184
하하, 62, 178
다파, 96, 163
가아, 41, 171
바나, 92, 188
바나, 43, 144
라파, 69, 163
라자, 98, 150
타파, 60, 146
가아, 84, 168
차타, 54, 180
다파, 52, 170
가타, 84, 159
마자, 41, 180
가나, 46, 180
차바, 80, 188
자나, 74, 185
카파, 49, 183
자다, 77, 171
가아, 89, 164
하하, 40, 173
타사, 60, 173
사자, 75, 147
아자, 98, 178
자자, 80, 156
나자, 99, 174
가나, 98, 177
차차, 96, 147
나카, 57, 188
마마, 81, 174
마아, 92, 161
파다, 51, 149
다파, 73, 149
사마, 92, 166
하바, 54, 153
파자, 77, 156
하바, 67, 156
타사, 76, 165
카다, 43, 170
사사, 56, 179
자마, 56, 180
카사, 52, 146
다가, 42, 173
다나, 77, 158
자카, 46, 174
가나, 92, 181
카다, 78, 181
마사, 75, 150
하라, 61, 159
하마, 83, 171
나라, 41, 146
바자, 42, 147
차파, 46, 187
타하, 77, 142
차가, 98, 164
자라, 65, 149
자카, 73, 156
자마, 82, 172
자라, 82, 187
나마, 82, 162
차사, 57, 183
파마, 86, 146
다사, 57, 150
다라, 69, 177
타마, 89, 150
다차, 68, 180
라하, 93, 171
사차, 63, 178
하마, 96, 165
아사, 72, 184
타바, 84, 154
타나, 78, 165
아가, 66, 149
하타, 64, 145
타다, 56, 181
아라, 90, 181
아차, 60, 189
사타, 60, 165
다카, 50, 156
마가, 72, 165
카나, 48, 180
아타, 61, 187
하카, 53, 176
아나, 41, 174
다라, 71, 167
차마, 79, 162
하자, 65, 180
나파, 50, 153
라차, 40, 150
하하, 78, 154
아마, 85, 184
나나, 83, 168
자라, 96, 177
마가, 78, 157
라사, 58, 183
다카, 49, 153
자자, 91, 166
나하, 93, 189
다나, 63, 154
하카, 69, 172
사아, 90, 148
가하, 87, 150
카바, 81, 180
타마, 95, 153
